Frame,nose,left eye(inner),left eye,left eye(outer),right eye(inner),right eye,right eye(outer),left ear,right ear,mouth(left),mouth(right),left shoulder,right shoulder,left elbow,right elbow,left wrist,right wrist,left pinky,right pinky,left index,right index,left thumb,right thumb,left hip,right hip,left knee,right knee,left ankle,right ankle,left heel,right heel,left foot index,right foot index
2.0,"[0.1816931813955307, 0.3772602081298828, -0.3163720965385437]","[0.18067432940006256, 0.36636993288993835, -0.31520530581474304]","[0.1807423084974289, 0.36406058073043823, -0.31511056423187256]","[0.1809035688638687, 0.3624265789985657, -0.3150418996810913]","[0.17870871722698212, 0.3692477345466614, -0.34110063314437866]","[0.1776130199432373, 0.3699439465999603, -0.34117090702056885]","[0.17685042321681976, 0.37069642543792725, -0.34124433994293213]","[0.1738344132900238, 0.36131665110588074, -0.2518012225627899]","[0.16890068352222443, 0.3725424110889435, -0.37394848465919495]","[0.17827828228473663, 0.3835708498954773, -0.28483274579048157]","[0.17500187456607819, 0.386978417634964, -0.3204347491264343]","[0.1536877304315567, 0.37468159198760986, -0.1567775309085846]","[0.14668633043766022, 0.43278732895851135, -0.36966463923454285]","[0.14729371666908264, 0.3115786910057068, -0.02008124068379402]","[0.14665980637073517, 0.5028007626533508, -0.4701131284236908]","[0.15847037732601166, 0.25969693064689636, 0.059207282960414886]","[0.17249493300914764, 0.56465744972229, -0.5556674003601074]","[0.1573147475719452, 0.2423906922340393, 0.059077225625514984]","[0.17455506324768066, 0.5842571258544922, -0.5901200771331787]","[0.1571810245513916, 0.24570265412330627, 0.042553674429655075]","[0.17719633877277374, 0.5795744061470032, -0.6004208922386169]","[0.15974703431129456, 0.2553865611553192, 0.0520697720348835]","[0.17794571816921234, 0.5714544057846069, -0.5605309009552002]","[0.1875041425228119, 0.568796694278717, 0.09047479927539825]","[0.17330947518348694, 0.5856491923332214, -0.09089671075344086]","[0.19634389877319336, 0.6616127490997314, 0.2780420780181885]","[0.18531370162963867, 0.6914348006248474, 0.07625916600227356]","[0.19988733530044556, 0.7851498126983643, 0.4762097895145416]","[0.16909654438495636, 0.8214964270591736, 0.26928606629371643]","[0.19410687685012817, 0.8049625158309937, 0.4935604929924011]","[0.16035768389701843, 0.8291398286819458, 0.2872717082500458]","[0.2427615225315094, 0.8121824264526367, 0.45895299315452576]","[0.20168952643871307, 0.8480727672576904, 0.22732535004615784]"
3.0,"[0.1800639033317566, 0.3354334235191345, -0.2418249547481537]","[0.17780351638793945, 0.32229045033454895, -0.2295691967010498]","[0.1783156394958496, 0.320951908826828, -0.22946684062480927]","[0.17884239554405212, 0.31967148184776306, -0.22938713431358337]","[0.17229945957660675, 0.3295463025569916, -0.2529025673866272]","[0.16974112391471863, 0.3313647210597992, -0.25293296575546265]","[0.1685778796672821, 0.3313834071159363, -0.2529897093772888]","[0.17051059007644653, 0.3214383125305176, -0.15017029643058777]","[0.15962623059749603, 0.33871781826019287, -0.25794631242752075]","[0.1778796762228012, 0.3448844850063324, -0.2074127197265625]","[0.1732955276966095, 0.34834808111190796, -0.23859746754169464]","[0.14842255413532257, 0.34995874762535095, -0.047328002750873566]","[0.1459427773952484, 0.39717161655426025, -0.27226942777633667]","[0.13433560729026794, 0.30987659096717834, 0.07462005317211151]","[0.1478082537651062, 0.5027571320533752, -0.31318825483322144]","[0.1422300785779953, 0.2580725848674774, 0.1570984423160553]","[0.17730958759784698, 0.5812417268753052, -0.3122712969779968]","[0.14271770417690277, 0.24137432873249054, 0.16564376652240753]","[0.18161164224147797, 0.6068713665008545, -0.3257278501987457]","[0.1421242505311966, 0.2447783350944519, 0.15609826147556305]","[0.18713051080703735, 0.605315089225769, -0.33415764570236206]","[0.14343494176864624, 0.25399333238601685, 0.15296050906181335]","[0.18962572515010834, 0.5914361476898193, -0.31157317757606506]","[0.17767766118049622, 0.5294733643531799, 0.0867868959903717]","[0.17496313154697418, 0.5454538464546204, -0.08725900948047638]","[0.18738281726837158, 0.6582280993461609, 0.12514781951904297]","[0.18691027164459229, 0.6815525889396667, -0.06019914150238037]","[0.18678973615169525, 0.784281313419342, 0.17839935421943665]","[0.17235003411769867, 0.8127818703651428, -0.0114644356071949]","[0.16799184679985046, 0.8074824810028076, 0.17971457540988922]","[0.16216397285461426, 0.8292203545570374, -0.007555691991001368]","[0.2179756909608841, 0.8196632266044617, 0.14958183467388153]","[0.2124577760696411, 0.8421885967254639, -0.05343253165483475]"
4.0,"[0.16535839438438416, 0.3208436965942383, -0.19924822449684143]","[0.16369390487670898, 0.3068108558654785, -0.18478426337242126]","[0.16532202064990997, 0.3057313859462738, -0.18470610678195953]","[0.16693557798862457, 0.3046931028366089, -0.18463951349258423]","[0.1572560966014862, 0.30946817994117737, -0.20632889866828918]","[0.1539526879787445, 0.3100443482398987, -0.2063312530517578]","[0.1508564054965973, 0.3104294240474701, -0.2063954770565033]","[0.16075517237186432, 0.3063788414001465, -0.09137783944606781]","[0.1452672928571701, 0.3272775113582611, -0.19159568846225739]","[0.16657498478889465, 0.33013641834259033, -0.15976031124591827]","[0.1584288626909256, 0.3329973816871643, -0.1887470781803131]","[0.14871768653392792, 0.3424680829048157, 0.022868145257234573]","[0.133891761302948, 0.3716053068637848, -0.2064361572265625]","[0.13844570517539978, 0.3103684186935425, 0.11468980461359024]","[0.13701507449150085, 0.47313228249549866, -0.23988847434520721]","[0.1453973352909088, 0.2570575773715973, 0.16482758522033691]","[0.1712130308151245, 0.5816923379898071, -0.24035224318504333]","[0.14565406739711761, 0.24123337864875793, 0.17153774201869965]","[0.17326149344444275, 0.6111641526222229, -0.2500017285346985]","[0.14521333575248718, 0.2435147613286972, 0.16613733768463135]","[0.18425710499286652, 0.6108505129814148, -0.26028919219970703]","[0.14637069404125214, 0.252026230096817, 0.16137249767780304]","[0.1854674220085144, 0.5976324677467346, -0.24011757969856262]","[0.17741118371486664, 0.5238636136054993, 0.08121383190155029]","[0.16974017024040222, 0.5321274399757385, -0.08167494088411331]","[0.18856874108314514, 0.6521040201187134, 0.11628259718418121]","[0.1860235035419464, 0.6723620295524597, -0.07989459484815598]","[0.1865774691104889, 0.7842251062393188, 0.16366004943847656]","[0.16999177634716034, 0.8133048415184021, -0.03113543428480625]","[0.1749517023563385, 0.8074641823768616, 0.16436630487442017]","[0.15235525369644165, 0.8365553021430969, -0.02815605327486992]","[0.2209489345550537, 0.8211604952812195, 0.1249229684472084]","[0.21069875359535217, 0.8426274657249451, -0.09216342121362686]"
5.0,"[0.16566996276378632, 0.35784265398979187, -0.3591958284378052]","[0.1645616590976715, 0.34462034702301025, -0.3499720096588135]","[0.1656300127506256, 0.3427993953227997, -0.3498689532279968]","[0.16687524318695068, 0.3407261073589325, -0.34986960887908936]","[0.15993650257587433, 0.3503877818584442, -0.3739989399909973]","[0.15756520628929138, 0.35256534814834595, -0.3740465044975281]","[0.15531060099601746, 0.3549489974975586, -0.3741014003753662]","[0.1613178700208664, 0.33873647451400757, -0.25389498472213745]","[0.14836058020591736, 0.3627239167690277, -0.36407074332237244]","[0.16582892835140228, 0.3612886369228363, -0.3170925974845886]","[0.15964826941490173, 0.36798524856567383, -0.34913331270217896]","[0.15502071380615234, 0.3784915804862976, -0.11793480068445206]","[0.1359540969133377, 0.42907848954200745, -0.34690338373184204]","[0.15728414058685303, 0.3790496289730072, 0.06703056395053864]","[0.14366962015628815, 0.5227002501487732, -0.24185439944267273]","[0.17986837029457092, 0.3561254143714905, 0.17669101059436798]","[0.17338863015174866, 0.5931642651557922, -0.3933855891227722]","[0.18416975438594818, 0.3468686640262604, 0.19062726199626923]","[0.17592015862464905, 0.6209579706192017, -0.41721826791763306]","[0.184454083442688, 0.34803542494773865, 0.16955266892910004]","[0.18579544126987457, 0.6194037795066833, -0.42883068323135376]","[0.1839206963777542, 0.3551737368106842, 0.1696282923221588]","[0.18575772643089294, 0.6096527576446533, -0.3964018225669861]","[0.18590638041496277, 0.5614449381828308, 0.07672102749347687]","[0.16824334859848022, 0.5778610706329346, -0.07715144753456116]","[0.18890365958213806, 0.6686557531356812, 0.23408885300159454]","[0.1762547343969345, 0.6943376660346985, 0.08735813200473785]","[0.19408664107322693, 0.7837756276130676, 0.41484445333480835]","[0.15584132075309753, 0.8186877369880676, 0.27232781052589417]","[0.18684248626232147, 0.8055951595306396, 0.43187475204467773]","[0.14245785772800446, 0.8408734798431396, 0.2908098101615906]","[0.22892630100250244, 0.8209384083747864, 0.4030373692512512]","[0.190306156873703, 0.8499282598495483, 0.23427045345306396]"
6.0,"[0.16050004959106445, 0.3146267235279083, -0.30241963267326355]","[0.1581004559993744, 0.3010435998439789, -0.28652340173721313]","[0.15977995097637177, 0.3003864586353302, -0.2864590287208557]","[0.1615038514137268, 0.2996927797794342, -0.2864449620246887]","[0.15185634791851044, 0.30265262722969055, -0.3073887526988983]","[0.14843589067459106, 0.30319565534591675, -0.30740731954574585]","[0.14499634504318237, 0.30380433797836304, -0.3074952960014343]","[0.15485307574272156, 0.3040555715560913, -0.18301045894622803]","[0.13365939259529114, 0.31059032678604126, -0.284292608499527]","[0.16203342378139496, 0.3257136642932892, -0.25589174032211304]","[0.153426855802536, 0.3281114995479584, -0.2839292883872986]","[0.1549956202507019, 0.35159996151924133, -0.048251889646053314]","[0.12284813821315765, 0.37849685549736023, -0.28437837958335876]","[0.16205768287181854, 0.3590199053287506, 0.07657566666603088]","[0.13678307831287384, 0.483609139919281, -0.2957220673561096]","[0.17398014664649963, 0.3254586160182953, 0.14043878018856049]","[0.17338305711746216, 0.5884158611297607, -0.3004246652126312]","[0.17701837420463562, 0.31870487332344055, 0.14724235236644745]","[0.1762465536594391, 0.6145440340042114, -0.3166700601577759]","[0.17678965628147125, 0.3168502748012543, 0.1298089325428009]","[0.18556621670722961, 0.6127595901489258, -0.32836607098579407]","[0.1763676553964615, 0.32238122820854187, 0.13342319428920746]","[0.1852555125951767, 0.6022493839263916, -0.3012494146823883]","[0.18070152401924133, 0.5351420640945435, 0.07160715013742447]","[0.1590697467327118, 0.5456784963607788, -0.07197999954223633]","[0.18943150341510773, 0.6529330611228943, 0.1673782914876938]","[0.17719779908657074, 0.6832756400108337, -0.007816744968295097]","[0.19339099526405334, 0.7832585573196411, 0.2594394087791443]","[0.15834996104240417, 0.8154506683349609, 0.08792238682508469]","[0.18612140417099, 0.8055102229118347, 0.26491886377334595]","[0.14402185380458832, 0.84062659740448, 0.09453281760215759]","[0.22893281280994415, 0.8203451037406921, 0.2260928452014923]","[0.19171902537345886, 0.8497403860092163, 0.022837145254015923]"
7.0,"[0.15405665338039398, 0.26780253648757935, -0.2580442428588867]","[0.14902004599571228, 0.2556966245174408, -0.2419455498456955]","[0.150493323802948, 0.25530487298965454, -0.24189770221710205]","[0.15201568603515625, 0.2548965811729431, -0.24188700318336487]","[0.1428578794002533, 0.2572784721851349, -0.2679806351661682]","[0.1392812877893448, 0.258177250623703, -0.26799100637435913]","[0.1356782615184784, 0.25910842418670654, -0.2681025266647339]","[0.14374569058418274, 0.2639407515525818, -0.1394147276878357]","[0.12322451174259186, 0.270307332277298, -0.2596168518066406]","[0.15654784440994263, 0.28200283646583557, -0.21493294835090637]","[0.1478051245212555, 0.28457969427108765, -0.24939727783203125]","[0.1525837481021881, 0.3291671872138977, 0.009647058323025703]","[0.11719484627246857, 0.3517281115055084, -0.2830469012260437]","[0.16906994581222534, 0.37209632992744446, 0.17374856770038605]","[0.1317761391401291, 0.4696851372718811, -0.3170052468776703]","[0.17789660394191742, 0.34915691614151, 0.2634747624397278]","[0.17269615828990936, 0.586362898349762, -0.3249698877334595]","[0.18106958270072937, 0.3484087288379669, 0.28162431716918945]","[0.176331028342247, 0.6134794354438782, -0.3457334041595459]","[0.18119309842586517, 0.34261858463287354, 0.2699325382709503]","[0.18549242615699768, 0.6118645071983337, -0.35852402448654175]","[0.1800738275051117, 0.3454882502555847, 0.2602342665195465]","[0.1848907321691513, 0.6014834642410278, -0.3267735242843628]","[0.17869922518730164, 0.5240515470504761, 0.07407176494598389]","[0.15223078429698944, 0.5353269577026367, -0.0745278149843216]","[0.18832969665527344, 0.6533067226409912, 0.15760165452957153]","[0.17361798882484436, 0.6807950735092163, -0.002836525673046708]","[0.1959921419620514, 0.7832655310630798, 0.25536900758743286]","[0.15598908066749573, 0.8172771334648132, 0.12141264975070953]","[0.18984141945838928, 0.8050663471221924, 0.26068562269210815]","[0.1394411027431488, 0.843892514705658, 0.13032563030719757]","[0.23345407843589783, 0.8190807700157166, 0.2121080458164215]","[0.19024218618869781, 0.8498633503913879, 0.05298064276576042]"
8.0,"[0.151016503572464, 0.2565706670284271, -0.23817399144172668]","[0.14545249938964844, 0.24352489411830902, -0.2225622683763504]","[0.1467963457107544, 0.24315664172172546, -0.22252097725868225]","[0.14818383753299713, 0.2427881807088852, -0.22251442074775696]","[0.139491006731987, 0.2449229210615158, -0.24906854331493378]","[0.135868638753891, 0.24573002755641937, -0.24908621609210968]","[0.1322251707315445, 0.24655911326408386, -0.2491827756166458]","[0.13879616558551788, 0.25224295258522034, -0.12573693692684174]","[0.11907178163528442, 0.2580122649669647, -0.24742698669433594]","[0.15316978096961975, 0.2714272737503052, -0.19817706942558289]","[0.1443120390176773, 0.2738445997238159, -0.2332051694393158]","[0.14331945776939392, 0.32306918501853943, 0.021577661857008934]","[0.1163497343659401, 0.3455638587474823, -0.28166428208351135]","[0.1656915247440338, 0.3737689256668091, 0.18959803879261017]","[0.13199158012866974, 0.47009971737861633, -0.31650489568710327]","[0.17777901887893677, 0.3491603136062622, 0.2981952428817749]","[0.1711736023426056, 0.5848973989486694, -0.3114907741546631]","[0.1814209520816803, 0.34742745757102966, 0.3208375573158264]","[0.1765206754207611, 0.6112187504768372, -0.33191829919815063]","[0.18293461203575134, 0.34110701084136963, 0.31032639741897583]","[0.1852269172668457, 0.6092779040336609, -0.34263837337493896]","[0.18153616786003113, 0.3447047472000122, 0.29566460847854614]","[0.18478921055793762, 0.5990404486656189, -0.3125289976596832]","[0.17340336740016937, 0.5280777215957642, 0.07506123930215836]","[0.15120607614517212, 0.540008544921875, -0.0756305381655693]","[0.18382945656776428, 0.6545464396476746, 0.18397849798202515]","[0.17010465264320374, 0.6806512475013733, 0.026160186156630516]","[0.1959596872329712, 0.7836597561836243, 0.3053181767463684]","[0.15587949752807617, 0.8193274140357971, 0.18380485475063324]","[0.18999142944812775, 0.8054448366165161, 0.3136668801307678]","[0.14106948673725128, 0.845373272895813, 0.19624914228916168]","[0.23388168215751648, 0.8177807331085205, 0.2750532925128937]","[0.1907390058040619, 0.849100649356842, 0.12913675606250763]"
9.0,"[0.14652477204799652, 0.29101797938346863, -0.23759141564369202]","[0.14248332381248474, 0.27838900685310364, -0.21872901916503906]","[0.1442965865135193, 0.2775905430316925, -0.21867211163043976]","[0.14617012441158295, 0.27688488364219666, -0.21864819526672363]","[0.13568519055843353, 0.2804381251335144, -0.2423887997865677]","[0.13203737139701843, 0.2813199460506439, -0.2423984259366989]","[0.1283739060163498, 0.28217458724975586, -0.24249541759490967]","[0.1393587291240692, 0.28297221660614014, -0.10726401954889297]","[0.12446866184473038, 0.2814483940601349, -0.21687594056129456]","[0.15025970339775085, 0.3032313287258148, -0.19362518191337585]","[0.14049412310123444, 0.30609509348869324, -0.22529903054237366]","[0.14462265372276306, 0.34198883175849915, 0.039721302688121796]","[0.11912550777196884, 0.34761911630630493, -0.25191202759742737]","[0.16959932446479797, 0.36762091517448425, 0.217083141207695]","[0.12627126276493073, 0.47666314244270325, -0.3027864098548889]","[0.1786230206489563, 0.3379954397678375, 0.340703547000885]","[0.16350305080413818, 0.5840729475021362, -0.3126138746738434]","[0.18100319802761078, 0.3344030976295471, 0.36353421211242676]","[0.16609588265419006, 0.6099669933319092, -0.3340242803096771]","[0.18147137761116028, 0.32990530133247375, 0.35381296277046204]","[0.176592618227005, 0.6078039407730103, -0.34580498933792114]","[0.18069469928741455, 0.3343309462070465, 0.3380221724510193]","[0.17543819546699524, 0.5976429581642151, -0.31467968225479126]","[0.17455503344535828, 0.5670188665390015, 0.07712581008672714]","[0.1538209170103073, 0.5783798098564148, -0.07744304835796356]","[0.18515458703041077, 0.6741456389427185, 0.22958293557167053]","[0.16065606474876404, 0.6965629458427429, 0.058967553079128265]","[0.19857710599899292, 0.7837691903114319, 0.3921237587928772]","[0.15004372596740723, 0.8269409537315369, 0.25106504559516907]","[0.19295558333396912, 0.8054289221763611, 0.40488117933273315]","[0.1354624480009079, 0.8506883978843689, 0.26800471544265747]","[0.23626598715782166, 0.8176882863044739, 0.3616432547569275]","[0.18935546278953552, 0.853798508644104, 0.1923808753490448]"
10.0,"[0.14004050195217133, 0.2346295267343521, -0.14680519700050354]","[0.1362960934638977, 0.22197946906089783, -0.1324845403432846]","[0.13812139630317688, 0.22173690795898438, -0.13253208994865417]","[0.13997121155261993, 0.22149166464805603, -0.13254179060459137]","[0.12933847308158875, 0.22282296419143677, -0.15741875767707825]","[0.12566272914409637, 0.22332529723644257, -0.15742748975753784]","[0.12197436392307281, 0.22384975850582123, -0.15751910209655762]","[0.13366498053073883, 0.23014815151691437, -0.04352199658751488]","[0.11215884983539581, 0.23328343033790588, -0.1570391207933426]","[0.1436699777841568, 0.24989119172096252, -0.1101335659623146]","[0.13393434882164001, 0.2515399158000946, -0.14280535280704498]","[0.14430275559425354, 0.3099808394908905, 0.08802798390388489]","[0.10427983105182648, 0.3172025978565216, -0.2169339954853058]","[0.1664477288722992, 0.3916732370853424, 0.18184860050678253]","[0.1207648366689682, 0.45352450013160706, -0.24970248341560364]","[0.18882374465465546, 0.4405684769153595, 0.19109439849853516]","[0.15591491758823395, 0.5780795812606812, -0.25750982761383057]","[0.1983451396226883, 0.4607347548007965, 0.18386210501194]","[0.1577988713979721, 0.597055971622467, -0.28747183084487915]","[0.19954487681388855, 0.4549936354160309, 0.15300999581813812]","[0.17038831114768982, 0.604303240776062, -0.2967398762702942]","[0.19466054439544678, 0.4500017464160919, 0.17333249747753143]","[0.1708836555480957, 0.579586386680603, -0.25984716415405273]","[0.17284336686134338, 0.5239096879959106, 0.08878490328788757]","[0.13992461562156677, 0.5325368046760559, -0.08891798555850983]","[0.18591222167015076, 0.6634400486946106, 0.15200254321098328]","[0.15885300934314728, 0.695202112197876, -0.026416141539812088]","[0.1996191293001175, 0.783676266670227, 0.2800898253917694]","[0.14986321330070496, 0.8306323885917664, 0.10816391557455063]","[0.1936221867799759, 0.8048814535140991, 0.2882689833641052]","[0.13372761011123657, 0.854821503162384, 0.11695138365030289]","[0.23972180485725403, 0.8164246082305908, 0.23620378971099854]","[0.18922129273414612, 0.8574952483177185, 0.02507275901734829]"
11.0,"[0.14581063389778137, 0.37568870186805725, -0.2571293115615845]","[0.14055463671684265, 0.3551780879497528, -0.23731741309165955]","[0.14019650220870972, 0.3531748354434967, -0.23732340335845947]","[0.14085574448108673, 0.3505612909793854, -0.23734378814697266]","[0.1358172446489334, 0.35717520117759705, -0.25872358679771423]","[0.13277247548103333, 0.3574531376361847, -0.2586977779865265]","[0.12945488095283508, 0.35645243525505066, -0.25871044397354126]","[0.14491166174411774, 0.3507057726383209, -0.05476382374763489]","[0.11898120492696762, 0.3540831506252289, -0.21508678793907166]","[0.1482003629207611, 0.37887874245643616, -0.20461086928844452]","[0.13946127891540527, 0.3818935751914978, -0.2325688600540161]","[0.14572657644748688, 0.39283487200737, 0.022807573899626732]","[0.11043810844421387, 0.4156338572502136, -0.24546873569488525]","[0.16633807122707367, 0.4164796769618988, 0.1687583178281784]","[0.1207897886633873, 0.49682697653770447, -0.2857348620891571]","[0.18459752202033997, 0.4274924695491791, 0.21591225266456604]","[0.15227478742599487, 0.5806432962417603, -0.3128983974456787]","[0.19215817749500275, 0.434232234954834, 0.2215506136417389]","[0.15254303812980652, 0.6003648638725281, -0.34008386731147766]","[0.19292433559894562, 0.43148529529571533, 0.19335153698921204]","[0.16377417743206024, 0.6044737100601196, -0.35016924142837524]","[0.18958961963653564, 0.43216392397880554, 0.2039700746536255]","[0.163192018866539, 0.5878886580467224, -0.3153024911880493]","[0.1715705692768097, 0.584602952003479, 0.08701303601264954]","[0.14176452159881592, 0.5925109386444092, -0.08711741864681244]","[0.190311998128891, 0.6829032301902771, 0.20239682495594025]","[0.1533462107181549, 0.7081723809242249, 0.040420543402433395]","[0.2029384821653366, 0.7857472896575928, 0.34823834896087646]","[0.15035614371299744, 0.8353011012077332, 0.20266322791576385]","[0.19806499779224396, 0.8051470518112183, 0.36021482944488525]","[0.13493292033672333, 0.8571807742118835, 0.2165326178073883]","[0.24158544838428497, 0.8174473643302917, 0.32063767313957214]","[0.1902565211057663, 0.8614135384559631, 0.1399788111448288]"
12.0,"[0.14748205244541168, 0.38589194416999817, -0.23479540646076202]","[0.14449739456176758, 0.3731978237628937, -0.21643908321857452]","[0.14464810490608215, 0.37171199917793274, -0.21643969416618347]","[0.14485636353492737, 0.3695676624774933, -0.21642951667308807]","[0.13902878761291504, 0.37542879581451416, -0.2374742329120636]","[0.1360197365283966, 0.3754848837852478, -0.23746351897716522]","[0.1329909712076187, 0.3749827742576599, -0.23749153316020966]","[0.14853820204734802, 0.3643408417701721, -0.09481115639209747]","[0.12369750440120697, 0.3714296221733093, -0.20100851356983185]","[0.1495351940393448, 0.3920619785785675, -0.18699444830417633]","[0.1407625824213028, 0.39423710107803345, -0.21520337462425232]","[0.14812205731868744, 0.4081953167915344, 0.037191636860370636]","[0.11399264633655548, 0.4273394048213959, -0.21358934044837952]","[0.16609175503253937, 0.42950525879859924, 0.1773938238620758]","[0.11752144992351532, 0.5004956722259521, -0.238729789853096]","[0.18314096331596375, 0.44193869829177856, 0.222738116979599]","[0.13436290621757507, 0.5762640237808228, -0.2497110664844513]","[0.1887730062007904, 0.4500286281108856, 0.22992506623268127]","[0.1346004158258438, 0.5983445644378662, -0.2707827091217041]","[0.19065070152282715, 0.4476054012775421, 0.20761802792549133]","[0.14170733094215393, 0.5986639261245728, -0.2832269072532654]","[0.189263254404068, 0.4473752975463867, 0.2133154571056366]","[0.14187943935394287, 0.5865431427955627, -0.2528464198112488]","[0.17166806757450104, 0.5888919234275818, 0.0841900035738945]","[0.1465044915676117, 0.5972696542739868, -0.08428855240345001]","[0.19779781997203827, 0.6825345158576965, 0.20889918506145477]","[0.14632727205753326, 0.7098346948623657, 0.021624285727739334]","[0.20404848456382751, 0.7877824902534485, 0.35471174120903015]","[0.14941583573818207, 0.8345201015472412, 0.14576394855976105]","[0.19840355217456818, 0.806122899055481, 0.3665076494216919]","[0.13422664999961853, 0.8564199209213257, 0.15597426891326904]","[0.24345345795154572, 0.8178287744522095, 0.33200520277023315]","[0.18748097121715546, 0.8634354472160339, 0.08235971629619598]"
