0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.2967755198478699, 0.37616148591041565, -0.31111177802085876]","[0.2924072742462158, 0.3647323548793793, -0.3048460781574249]","[0.2919100821018219, 0.36449679732322693, -0.3047899305820465]","[0.29145967960357666, 0.3643295466899872, -0.3047187626361847]","[0.29055336117744446, 0.3659018874168396, -0.3323943614959717]","[0.28856295347213745, 0.3665076196193695, -0.3325246572494507]","[0.28659307956695557, 0.3671707510948181, -0.33272695541381836]","[0.27992624044418335, 0.37000152468681335, -0.24292679131031036]","[0.2752785086631775, 0.37284019589424133, -0.3685155510902405]","[0.2949886918067932, 0.3875446319580078, -0.28259769082069397]","[0.2926996052265167, 0.387685090303421, -0.3191220462322235]","[0.2687077224254608, 0.3977152705192566, -0.12284819781780243]","[0.250705361366272, 0.45397892594337463, -0.37379419803619385]","[0.270710825920105, 0.4351676404476166, 0.03217897564172745]","[0.2537005543708801, 0.5473687648773193, -0.4086739122867584]","[0.2914259433746338, 0.4534122049808502, 0.12030285596847534]","[0.27438244223594666, 0.6273595690727234, -0.42056551575660706]","[0.2966642379760742, 0.454465389251709, 0.14223001897335052]","[0.2795613408088684, 0.6524609923362732, -0.44570884108543396]","[0.2997678220272064, 0.4561435878276825, 0.12390835583209991]","[0.2883419990539551, 0.6493847966194153, -0.4518652558326721]","[0.29811954498291016, 0.4568748474121094, 0.11493043601512909]","[0.28732675313949585, 0.6402266025543213, -0.4215157628059387]","[0.28717556595802307, 0.5436597466468811, 0.08795128017663956]","[0.2768382132053375, 0.5685599446296692, -0.08812418580055237]","[0.29293131828308105, 0.6615749001502991, 0.21034762263298035]","[0.28757649660110474, 0.6999298930168152, -0.04382782801985741]","[0.2711445391178131, 0.7473109364509583, 0.3620428144931793]","[0.2663176655769348, 0.7979734539985657, 0.042909108102321625]","[0.2614912986755371, 0.76121985912323, 0.37336209416389465]","[0.2478562593460083, 0.8097740411758423, 0.048397697508335114]","[0.2928752601146698, 0.7761592864990234, 0.3280353248119354]","[0.30133044719696045, 0.8383103609085083, -0.036606770008802414]"
"[0.2966664433479309, 0.3737763464450836, -0.16436144709587097]","[0.29264193773269653, 0.3638434410095215, -0.1438416838645935]","[0.29237809777259827, 0.3636671304702759, -0.14387336373329163]","[0.2921977937221527, 0.36352062225341797, -0.14385893940925598]","[0.29041868448257446, 0.36466166377067566, -0.17096298933029175]","[0.28832799196243286, 0.3650900721549988, -0.17098413407802582]","[0.28621336817741394, 0.36553096771240234, -0.17103347182273865]","[0.28020402789115906, 0.3688148856163025, -0.04143593832850456]","[0.2745503783226013, 0.37137386202812195, -0.1645737886428833]","[0.2949543595314026, 0.3846922516822815, -0.12408339977264404]","[0.2917562425136566, 0.3851991593837738, -0.15957573056221008]","[0.2818375527858734, 0.4337143898010254, 0.08001779019832611]","[0.253018319606781, 0.45088741183280945, -0.2106304168701172]","[0.2861926853656769, 0.5191134810447693, 0.11666153371334076]","[0.26176172494888306, 0.5415503978729248, -0.22836430370807648]","[0.3031368851661682, 0.5722283720970154, 0.05221187323331833]","[0.2929784059524536, 0.583990216255188, -0.2046118974685669]","[0.30971768498420715, 0.5886884927749634, 0.04218320921063423]","[0.3004416823387146, 0.5970450639724731, -0.22991415858268738]","[0.3113541305065155, 0.5843909978866577, 0.020284641534090042]","[0.3042483925819397, 0.5882836580276489, -0.23182758688926697]","[0.30803877115249634, 0.5789408087730408, 0.038877032697200775]","[0.30025002360343933, 0.5841569900512695, -0.20408587157726288]","[0.2905239462852478, 0.6039175391197205, 0.10029412806034088]","[0.28327909111976624, 0.6103171706199646, -0.10036857426166534]","[0.2886146008968353, 0.7160090804100037, 0.20230011641979218]","[0.285967618227005, 0.7281172871589661, -0.03944479301571846]","[0.2725721001625061, 0.8101447224617004, 0.32501375675201416]","[0.2662561535835266, 0.8331813216209412, 0.07014257460832596]","[0.2620883584022522, 0.826478123664856, 0.3327404856681824]","[0.24941937625408173, 0.8536579012870789, 0.07766861468553543]","[0.30483463406562805, 0.8385112285614014, 0.27962130308151245]","[0.302616685628891, 0.855506181716919, -0.004749513231217861]"
"[0.2965686023235321, 0.3719853162765503, -0.1593788117170334]","[0.2925102114677429, 0.3619966506958008, -0.14317560195922852]","[0.29226839542388916, 0.36158955097198486, -0.14321258664131165]","[0.29209643602371216, 0.36111974716186523, -0.14321161806583405]","[0.2902466058731079, 0.3627532124519348, -0.1705222874879837]","[0.28817546367645264, 0.3630162477493286, -0.17054679989814758]","[0.2860741913318634, 0.36328473687171936, -0.17058899998664856]","[0.28011220693588257, 0.3661127984523773, -0.05362892150878906]","[0.2742646336555481, 0.3696747422218323, -0.17732001841068268]","[0.29499202966690063, 0.3833100497722626, -0.12323838472366333]","[0.29176926612854004, 0.38414496183395386, -0.1589083969593048]","[0.28315767645835876, 0.43933480978012085, 0.053121961653232574]","[0.2545435130596161, 0.4506532847881317, -0.22506213188171387]","[0.29517704248428345, 0.5154971480369568, 0.09935133904218674]","[0.2716948390007019, 0.5379084348678589, -0.24162335693836212]","[0.31318268179893494, 0.5595664381980896, 0.035793907940387726]","[0.311867356300354, 0.5389107465744019, -0.19755452871322632]","[0.3192351758480072, 0.5736934542655945, 0.025980588048696518]","[0.3225432336330414, 0.5436221957206726, -0.22178559005260468]","[0.3205118775367737, 0.5665717720985413, 0.005992438644170761]","[0.32131490111351013, 0.5290586948394775, -0.22281837463378906]","[0.3174705505371094, 0.5620282888412476, 0.02319830097258091]","[0.31537187099456787, 0.5279504656791687, -0.1969268023967743]","[0.29235559701919556, 0.6068440079689026, 0.09791252017021179]","[0.28312867879867554, 0.6176916360855103, -0.09804043918848038]","[0.2889893651008606, 0.7146612405776978, 0.21417362987995148]","[0.28780630230903625, 0.7262524366378784, 0.006972560193389654]","[0.2765718102455139, 0.8094946146011353, 0.34782272577285767]","[0.2692682445049286, 0.8275296092033386, 0.16320183873176575]","[0.265746533870697, 0.827896773815155, 0.35663238167762756]","[0.25309884548187256, 0.8535688519477844, 0.1753702163696289]","[0.31329646706581116, 0.8337687849998474, 0.29889705777168274]","[0.3056214451789856, 0.8529836535453796, 0.09643789380788803]"
"[0.2984536290168762, 0.37059834599494934, -0.13001099228858948]","[0.2947643995285034, 0.3602195382118225, -0.11508031189441681]","[0.29444536566734314, 0.3598170280456543, -0.11512346565723419]","[0.29418498277664185, 0.3593277633190155, -0.11510679870843887]","[0.29254844784736633, 0.3608032166957855, -0.14461609721183777]","[0.29069197177886963, 0.3609744906425476, -0.1446300446987152]","[0.28887274861335754, 0.3611218333244324, -0.14468666911125183]","[0.28167322278022766, 0.3652009665966034, -0.03434663265943527]","[0.2762274146080017, 0.36844319105148315, -0.16877079010009766]","[0.2963453531265259, 0.38256359100341797, -0.09743908047676086]","[0.2931734621524811, 0.3832949995994568, -0.13620290160179138]","[0.2860521376132965, 0.4334794878959656, 0.05726374313235283]","[0.25437355041503906, 0.4489823579788208, -0.2192724496126175]","[0.29784899950027466, 0.5180885791778564, 0.09333453327417374]","[0.26777440309524536, 0.5367429256439209, -0.24173963069915771]","[0.3083955645561218, 0.5824790596961975, 0.027561277151107788]","[0.30186817049980164, 0.5576105713844299, -0.20248541235923767]","[0.31379926204681396, 0.6028257608413696, 0.014190915040671825]","[0.31069618463516235, 0.569065511226654, -0.2264827936887741]","[0.3159221410751343, 0.5973247289657593, -0.0039437864907085896]","[0.3124864101409912, 0.5581074357032776, -0.2299639880657196]","[0.31374219059944153, 0.5902535915374756, 0.015549466013908386]","[0.30806154012680054, 0.5542668104171753, -0.20259642601013184]","[0.29428550601005554, 0.6067529916763306, 0.09571656584739685]","[0.2824244201183319, 0.6128235459327698, -0.09571326524019241]","[0.2894451916217804, 0.7131797671318054, 0.22407925128936768]","[0.2875327467918396, 0.7278597354888916, -0.00689957058057189]","[0.2771766483783722, 0.810752809047699, 0.37007978558540344]","[0.27144497632980347, 0.8283397555351257, 0.12142349779605865]","[0.2662409543991089, 0.8279457092285156, 0.3808574378490448]","[0.2553173899650574, 0.8541967868804932, 0.13017775118350983]","[0.3141463100910187, 0.8363016843795776, 0.3290553390979767]","[0.30723291635513306, 0.8550281524658203, 0.04367026314139366]"
"[0.29841357469558716, 0.37078726291656494, -0.15139266848564148]","[0.2946966886520386, 0.36007755994796753, -0.1358083188533783]","[0.2944110035896301, 0.35969245433807373, -0.13585230708122253]","[0.2941897511482239, 0.3592465817928314, -0.13584911823272705]","[0.2924424111843109, 0.3607679307460785, -0.16501910984516144]","[0.2905920147895813, 0.3610316812992096, -0.16503846645355225]","[0.28877103328704834, 0.36127081513404846, -0.1650962233543396]","[0.28225934505462646, 0.36520281434059143, -0.052055906504392624]","[0.2761845886707306, 0.36851227283477783, -0.18466585874557495]","[0.29656273126602173, 0.3826812207698822, -0.11779671907424927]","[0.29335564374923706, 0.3834261894226074, -0.15599508583545685]","[0.28657299280166626, 0.4368833303451538, 0.051214564591646194]","[0.25440090894699097, 0.44843319058418274, -0.24151118099689484]","[0.29367268085479736, 0.5208415389060974, 0.09446662664413452]","[0.26894456148147583, 0.5371214747428894, -0.2748641073703766]","[0.3086652457714081, 0.5702916979789734, 0.04321800917387009]","[0.3082618713378906, 0.5687377452850342, -0.2433699369430542]","[0.3139624297618866, 0.5876298546791077, 0.03558247908949852]","[0.31627872586250305, 0.5802469849586487, -0.26972177624702454]","[0.31579288840293884, 0.5813882946968079, 0.01697547361254692]","[0.32121771574020386, 0.5761539936065674, -0.26964646577835083]","[0.31329238414764404, 0.5758355259895325, 0.03169073909521103]","[0.31701093912124634, 0.5721811056137085, -0.24236874282360077]","[0.2939123213291168, 0.6059951186180115, 0.0958169549703598]","[0.28224295377731323, 0.6107215285301208, -0.09583354741334915]","[0.2895791530609131, 0.7127020359039307, 0.22897443175315857]","[0.28677815198898315, 0.7306222319602966, -0.010041763074696064]","[0.27722373604774475, 0.8067303895950317, 0.3723694086074829]","[0.27136579155921936, 0.8311296105384827, 0.1171795129776001]","[0.2667326033115387, 0.8267166018486023, 0.383145809173584]","[0.25487616658210754, 0.8577114343643188, 0.1259092092514038]","[0.3157343566417694, 0.8337080478668213, 0.3379802405834198]","[0.3103928864002228, 0.85689377784729, 0.042731646448373795]"
"[0.2983202636241913, 0.3709181547164917, -0.15845337510108948]","[0.2944284975528717, 0.3602057695388794, -0.14287696778774261]","[0.29417985677719116, 0.35983091592788696, -0.14292290806770325]","[0.2939821779727936, 0.35940733551979065, -0.14292672276496887]","[0.29201993346214294, 0.36091938614845276, -0.1717323362827301]","[0.2900874614715576, 0.3611840605735779, -0.17176435887813568]","[0.28804877400398254, 0.36142101883888245, -0.17180337011814117]","[0.2820916473865509, 0.36530739068984985, -0.05754175782203674]","[0.2760397493839264, 0.36858099699020386, -0.18830586969852448]","[0.29654306173324585, 0.38296443223953247, -0.12400136888027191]","[0.2933521568775177, 0.3841537535190582, -0.16166500747203827]","[0.28445398807525635, 0.4362342953681946, 0.047548603266477585]","[0.25493285059928894, 0.4485507011413574, -0.24195358157157898]","[0.2932170629501343, 0.5223621726036072, 0.08657176792621613]","[0.27442416548728943, 0.53792405128479, -0.26174476742744446]","[0.31219935417175293, 0.5710238218307495, 0.0152724739164114]","[0.3098507821559906, 0.5483753681182861, -0.21528121829032898]","[0.3181396722793579, 0.5870510339736938, 0.00322510302066803]","[0.31815439462661743, 0.554584264755249, -0.24069344997406006]","[0.31904691457748413, 0.5797677636146545, -0.016934137791395187]","[0.3184846043586731, 0.5415015816688538, -0.2421969622373581]","[0.3161478638648987, 0.5745533108711243, 0.0023317583836615086]","[0.3139803409576416, 0.539822518825531, -0.21491119265556335]","[0.2936963438987732, 0.6061484217643738, 0.09736786782741547]","[0.2824931740760803, 0.6108269095420837, -0.09741224348545074]","[0.28932997584342957, 0.7150717973709106, 0.2396101951599121]","[0.2865922749042511, 0.7317646741867065, -0.004443672951310873]","[0.277325302362442, 0.8060491681098938, 0.38779520988464355]","[0.2714824974536896, 0.83046555519104, 0.13278082013130188]","[0.26705804467201233, 0.8252951502799988, 0.3990110754966736]","[0.2563260495662689, 0.8558887839317322, 0.14284178614616394]","[0.3151997923851013, 0.8319733142852783, 0.3557557761669159]","[0.31050118803977966, 0.8558033108711243, 0.062443774193525314]"
"[0.2982730269432068, 0.3706113398075104, -0.16855742037296295]","[0.294394314289093, 0.3596777617931366, -0.15280520915985107]","[0.2941198945045471, 0.35934755206108093, -0.15283966064453125]","[0.29391026496887207, 0.3589991331100464, -0.1528358906507492]","[0.2918180525302887, 0.3605904281139374, -0.17997220158576965]","[0.2897386848926544, 0.3609864413738251, -0.17999759316444397]","[0.28742119669914246, 0.36136123538017273, -0.18002647161483765]","[0.28203850984573364, 0.36523693799972534, -0.06370752304792404]","[0.2759355902671814, 0.3684782087802887, -0.18729430437088013]","[0.2967070937156677, 0.38301748037338257, -0.13303053379058838]","[0.293397456407547, 0.38422098755836487, -0.168709859251976]","[0.2864081561565399, 0.4369291067123413, 0.04280892759561539]","[0.2553609609603882, 0.4477244019508362, -0.233049675822258]","[0.29453304409980774, 0.5164173245429993, 0.10674390941858292]","[0.27755534648895264, 0.5223444700241089, -0.24752593040466309]","[0.3150387108325958, 0.551462709903717, 0.04072064533829689]","[0.3098830282688141, 0.5019106268882751, -0.19882771372795105]","[0.32154902815818787, 0.5647134184837341, 0.0394730418920517]","[0.3190164268016815, 0.5023872256278992, -0.22106948494911194]","[0.32201823592185974, 0.5580366849899292, 0.019485346972942352]","[0.3166237473487854, 0.48748472332954407, -0.22586996853351593]","[0.3187413215637207, 0.5539456009864807, 0.03158832713961601]","[0.31180667877197266, 0.48792698979377747, -0.1992727518081665]","[0.29344481229782104, 0.6043983101844788, 0.09401611238718033]","[0.2790900468826294, 0.6126585602760315, -0.0940324142575264]","[0.28961828351020813, 0.7105535864830017, 0.24296990036964417]","[0.2863144278526306, 0.7305701971054077, -0.010301601141691208]","[0.2774636745452881, 0.8049169182777405, 0.3986896574497223]","[0.27132174372673035, 0.8324130773544312, 0.11605902761220932]","[0.26741257309913635, 0.8223522305488586, 0.41058483719825745]","[0.2568517327308655, 0.8550399541854858, 0.12631726264953613]","[0.3146244287490845, 0.8300254940986633, 0.36400681734085083]","[0.3101511299610138, 0.8560677766799927, 0.056405939161777496]"
"[0.2982528805732727, 0.3706376254558563, -0.14728888869285583]","[0.2943662703037262, 0.35952460765838623, -0.13037092983722687]","[0.29414674639701843, 0.3592285215854645, -0.1304103136062622]","[0.29403096437454224, 0.35892900824546814, -0.130401149392128]","[0.2917131781578064, 0.3604430556297302, -0.1572946012020111]","[0.2894715964794159, 0.3608613610267639, -0.15731649100780487]","[0.28690382838249207, 0.36126789450645447, -0.15734122693538666]","[0.2820308208465576, 0.36514046788215637, -0.04072560369968414]","[0.2757068872451782, 0.36809876561164856, -0.16329479217529297]","[0.296764999628067, 0.38306742906570435, -0.11186681687831879]","[0.2933728098869324, 0.3842443525791168, -0.14722567796707153]","[0.2851178050041199, 0.4350157380104065, 0.05543828010559082]","[0.25545915961265564, 0.4462890326976776, -0.2143835574388504]","[0.2992916703224182, 0.5241543650627136, 0.09871409833431244]","[0.27762043476104736, 0.5045744180679321, -0.26111096143722534]","[0.3145941197872162, 0.5711609125137329, 0.029444899410009384]","[0.3082110285758972, 0.45898187160491943, -0.23194117844104767]","[0.3204081654548645, 0.5891262888908386, 0.018925247713923454]","[0.31748467683792114, 0.4514891803264618, -0.2564510405063629]","[0.3201277554035187, 0.5824688673019409, -0.0006310559110715985]","[0.31443169713020325, 0.4391695559024811, -0.25605708360671997]","[0.31699883937835693, 0.5757592916488647, 0.017580248415470123]","[0.3099566698074341, 0.44316771626472473, -0.23100753128528595]","[0.2931806147098541, 0.6059039235115051, 0.093324676156044]","[0.27824175357818604, 0.6127035021781921, -0.09332169592380524]","[0.28974899649620056, 0.7133803963661194, 0.20884139835834503]","[0.28629204630851746, 0.7298575043678284, -0.012795311398804188]","[0.2773880660533905, 0.805027425289154, 0.3376990556716919]","[0.27146878838539124, 0.8316970467567444, 0.1103823333978653]","[0.2672995328903198, 0.8239109516143799, 0.34666696190834045]","[0.2571333944797516, 0.8536822199821472, 0.11777851730585098]","[0.3149372637271881, 0.8312187194824219, 0.296588659286499]","[0.31059229373931885, 0.8551780581474304, 0.04649364575743675]"
"[0.29821348190307617, 0.37072882056236267, -0.12701772153377533]","[0.294038325548172, 0.3595871925354004, -0.1105746477842331]","[0.2939266562461853, 0.359293669462204, -0.11062262952327728]","[0.2939022183418274, 0.35900023579597473, -0.11061345040798187]","[0.2910364270210266, 0.36050811409950256, -0.13708892464637756]","[0.2886151075363159, 0.3609292805194855, -0.13711369037628174]","[0.285927951335907, 0.36133745312690735, -0.1371496319770813]","[0.28201091289520264, 0.3651675283908844, -0.024262789636850357]","[0.2748379707336426, 0.3680504858493805, -0.14489415287971497]","[0.29675406217575073, 0.38382071256637573, -0.09303121268749237]","[0.2932838797569275, 0.3849850296974182, -0.127762109041214]","[0.2843705117702484, 0.4341825246810913, 0.06907962262630463]","[0.25563305616378784, 0.4453294575214386, -0.19787529110908508]","[0.29848819971084595, 0.5223339200019836, 0.10070709139108658]","[0.2755044102668762, 0.5138480067253113, -0.21859963238239288]","[0.3127712905406952, 0.5684893131256104, 0.024414680898189545]","[0.3060515820980072, 0.49752670526504517, -0.17089217901229858]","[0.3185012638568878, 0.5868329405784607, 0.009663029573857784]","[0.3148704767227173, 0.49959173798561096, -0.19253797829151154]","[0.3194924592971802, 0.5798019170761108, -0.00941549614071846]","[0.3132096529006958, 0.4862977862358093, -0.19628527760505676]","[0.3166623115539551, 0.573117196559906, 0.011880605481564999]","[0.30935007333755493, 0.4864296317100525, -0.17111709713935852]","[0.29304271936416626, 0.6057920455932617, 0.09232381731271744]","[0.2779567837715149, 0.6121317148208618, -0.09229891002178192]","[0.2901851534843445, 0.7122321724891663, 0.20037908852100372]","[0.28627991676330566, 0.7287838459014893, -0.013043127954006195]","[0.27770915627479553, 0.8051461577415466, 0.3227185904979706]","[0.2714398503303528, 0.8307107090950012, 0.10211803019046783]","[0.26747769117355347, 0.8226378560066223, 0.33102279901504517]","[0.256905198097229, 0.8526390194892883, 0.10872938483953476]","[0.31541019678115845, 0.8305142521858215, 0.28331804275512695]","[0.31038373708724976, 0.8541213274002075, 0.04133296385407448]"
"[0.29844924807548523, 0.3704474866390228, -0.11660385131835938]","[0.29402559995651245, 0.35930153727531433, -0.10219866037368774]","[0.29389840364456177, 0.3590400516986847, -0.10224755853414536]","[0.2938653230667114, 0.3587910234928131, -0.10224588960409164]","[0.2910380959510803, 0.3602166175842285, -0.12962710857391357]","[0.28861701488494873, 0.3606586158275604, -0.12964794039726257]","[0.2859334647655487, 0.36108821630477905, -0.12967464327812195]","[0.2819966673851013, 0.3650423586368561, -0.022253917530179024]","[0.2748470604419708, 0.3677234351634979, -0.14694586396217346]","[0.2971493601799011, 0.3835785686969757, -0.08452510088682175]","[0.2936447560787201, 0.38482099771499634, -0.12041455507278442]","[0.28397703170776367, 0.4329417943954468, 0.06902205944061279]","[0.25600823760032654, 0.4435208737850189, -0.19744634628295898]","[0.2972980737686157, 0.5159016251564026, 0.11969391256570816]","[0.27472054958343506, 0.5069090723991394, -0.22773520648479462]","[0.31195762753486633, 0.5639922618865967, 0.052279435098171234]","[0.30500346422195435, 0.4709010422229767, -0.18324771523475647]","[0.3175361454486847, 0.5800800919532776, 0.03221772983670235]","[0.3139060139656067, 0.46615007519721985, -0.20477907359600067]","[0.3183378577232361, 0.5643147230148315, 0.01191410981118679]","[0.31311944127082825, 0.4531082808971405, -0.20521552860736847]","[0.3155168294906616, 0.5581843852996826, 0.038914166390895844]","[0.308571457862854, 0.45561686158180237, -0.18217188119888306]","[0.29312121868133545, 0.604441225528717, 0.09149295091629028]","[0.28065216541290283, 0.6104621291160583, -0.09145773202180862]","[0.2905113101005554, 0.7114524841308594, 0.20074327290058136]","[0.28636640310287476, 0.7279825210571289, -0.005930839106440544]","[0.27769914269447327, 0.8034261465072632, 0.3252086639404297]","[0.2715892493724823, 0.8295891880989075, 0.11625059694051743]","[0.26748472452163696, 0.8221589922904968, 0.33383938670158386]","[0.25757116079330444, 0.8511375784873962, 0.12490576505661011]","[0.3158515691757202, 0.8306523561477661, 0.28640031814575195]","[0.31028881669044495, 0.852746844291687, 0.04897516220808029]"
"[0.29860252141952515, 0.3696620762348175, -0.13602487742900848]","[0.2940417528152466, 0.3587082028388977, -0.12055374681949615]","[0.29391956329345703, 0.3584655821323395, -0.1205974593758583]","[0.29388493299484253, 0.3582320809364319, -0.12059435993432999]","[0.2910411059856415, 0.35964441299438477, -0.14807754755020142]","[0.288616806268692, 0.36012908816337585, -0.148099884390831]","[0.2859358787536621, 0.360601007938385, -0.14812543988227844]","[0.28220537304878235, 0.3646904230117798, -0.03528926521539688]","[0.27482688426971436, 0.3675518035888672, -0.16046905517578125]","[0.2976003587245941, 0.38277918100357056, -0.10193778574466705]","[0.2939474582672119, 0.3841768503189087, -0.13796603679656982]","[0.2838522493839264, 0.43220090866088867, 0.06362923234701157]","[0.2562517821788788, 0.4433165490627289, -0.21173182129859924]","[0.2963554263114929, 0.5183912515640259, 0.11143557727336884]","[0.27631875872612, 0.5126703977584839, -0.23249495029449463]","[0.31361329555511475, 0.5592047572135925, 0.04231259971857071]","[0.3070792555809021, 0.49353450536727905, -0.18337911367416382]","[0.3198346495628357, 0.5742881894111633, 0.027595454826951027]","[0.3160589337348938, 0.49385592341423035, -0.20604746043682098]","[0.3203286826610565, 0.5638402700424194, 0.006902722176164389]","[0.31333667039871216, 0.47971776127815247, -0.2086794674396515]","[0.3171749413013458, 0.5582062602043152, 0.028782814741134644]","[0.3084182143211365, 0.48035845160484314, -0.18332360684871674]","[0.29303959012031555, 0.6035622358322144, 0.09190137684345245]","[0.2802044749259949, 0.6117140650749207, -0.09188291430473328]","[0.2905598282814026, 0.7104554772377014, 0.2046438455581665]","[0.2863606810569763, 0.7278442978858948, 0.0022607746068388224]","[0.27764245867729187, 0.8035749197006226, 0.33635079860687256]","[0.2715364396572113, 0.8287656307220459, 0.14090076088905334]","[0.26742321252822876, 0.8217589855194092, 0.34566447138786316]","[0.25749850273132324, 0.8511716723442078, 0.1512679159641266]","[0.315489262342453, 0.8304002285003662, 0.2984265685081482]","[0.30971142649650574, 0.8512359261512756, 0.07283765822649002]"
